Operator Number,Operator Name,Location,Leases
000352,A.G.A. OIL CO.,"Rockdale, TX 76567",
030125,ARIES OIL CORP.,"Dallas, TX 75219",
035464,ASPECT ABUNDANT SHALE LP,"Denver, CO 80203",
035453,"ASPECT ENERGY, LLC","Denver, CO 80202",1
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",
039773,B & B DRILLING CO.,"Milano, TX 76556",
042323,"BACHMEYER, MARVIN","Taylor, TX 76574",
066780,"BEREN, I. B.","Dallas, TX 75225",
072512,BISSELL OPERATING LLC,"San Antonio, TX 78216",
072655,BLACK HAWK PRODUCTION CO.,"Chilton, TX 76632",
072704,"BLACK JACK SERVICES, L.L.C.","Bastrop, TX 78602",
073302,"BLACKSTONE PETRO ENERGY, LP","Austin, TX 78759",
073350,"BLACKWELL, BLACKIE","Flatonia, TX 78941",
197180,"BROTHERS OIL & EQUIPMENT, INC.","Kilgore, TX 75663",
122419,"CADDO ENERGY CO., INC.","Bastrop, TX 78602",
124250,CALLERY EXPLORATION COMPANY,"Houston, TX 77057",
144572,"CHAPARRAL NATURAL RESOURCES,INC.","Austin, TX 78746",
146648,CHART - X CORPORATION,"Fort Worth, TX 76133",
153393,"CIBOLO ENERGY OPERATING, INC.","Bulverde, TX 78163",
156735,"CLARK EXPL. & PROD., CO., INC.","Austin, TX 78746",
155236,CLARK OPERATING INC.,"Wichita Falls, TX 76308",6
182690,"COUPLAND EXPLORATION COMPANY,INC","Coupland, TX 78615",
120800,CRH CORPORATION,"Houston, TX 77057",
195836,CUTRER ENERGY,"Fairfield, TX 75840",
214076,"DELTA SIX, INC.","Montgomery, TX 77356",
221874,"DOBOS, JAMES D. CORPORATION","Dime Box, TX 77853",
223390,DORADO OIL COMPANY,"Corpus Chrsti, TX 78403",
229315,"DRIVER, JACK G","Dallas, TX 75240",
230405,"DUGGER & HERRING DRLG. CO., INC.","Corpus Chrsti, TX 78413",
235846,"DURANGO EXPLORATION, INC.","Houston, TX 77027",
238191,EAGLE ASSOC. DRLG.PROGRAM 1984-A,"Farmers BRNCH, TX 75234",
253161,ENTERPRISE PRODUCTS OPERATING LP,"Houston, TX 77210",
253368,ENTERPRISE PRODUCTS OPERATINGLLC,"Houston, TX 77210",
266345,"FERGUSON, TED R.,INC.","Giddings, TX 78942",
268540,"FINKELSTEIN, JACK, TRUSTEE","Houston, TX 77027",
273881,"FLINT HILLS RESOURCES, LC","Wichita, KS 67220",
292347,GABRIEL MILLS ENERGY COMPANY,"Austin, TX 78705",
300210,GENESIS WELL SERVICE,"Colleyville, TX 76034",1
300807,GEOPHYSICAL EXPLORATION CORP.,"Houston, TX 77057",
312270,"GOETZ, C. G. COMPANY, INC.","Thrall, TX 76578",
319510,GRACE OIL & GAS INC.,"Austin, TX 78731",
337123,GUARDIAN OIL COMPANY,"Warren, OH 44483",
339768,"H - A ENERGY, INC.","Midland, TX 79704",
370457,"HEARTLAND RESOURCES, INC.","Temple, TX 76501",
378645,"HENSCHEID, RUFUS","Muenster, TX 76252",
385391,HIDALGO EXPLORATION & PROD. CO.,"Kingwood, TX 77339",
399295,"HOOPER, RICHARD R.","Austin, TX 78751",
401904,HOTCO ENERGY COMPANY,"Lafayette, LA 70503",
404500,HOUSTON PETROLEUM COMPANY,"Houston, TX 77027",
427288,J.W. SERVICE COMPANY,"Smithville, TX 78957",
429760,"JANAK, FRANK A.W.","Austin, TX 78753",
433132,JMR RESOURCES LLC,"San Antonio, TX 78210",
450261,KALER ENERGY CORP.,"Boerne, TX 78006",
452668,KAYE POTH OIL CORP.,"Seguin, TX 78155",
467840,KIRBY EXPLORATION COMPANY,"Houston, TX 77251",
495659,LEHMAN COMPANY,"Georgetown, TX 78626",
504605,LIVINGSTON OIL CO.,"Roundup, MT 59072",
505630,"LOGOS OIL, INCORPORATED","Tulsa, OK 74105",
515640,"LYNCH, W. W.","San Antonio, TX 78205",
518900,M & S OIL COMPANY,"Albany, TX 76430",
517955,"M. A. MUELLER CONST. CO., INC.","Georgetown, TX 78626",
521543,MAGNUM OILFIELD SERVICES LLC,"Bakersfield, CA 93309",
523181,"MALISH OPERATING, LLC","Taylor, TX 76574",
523350,MALONE CO.,"Texas City, TX 77592",
526835,"MARSH ENERGY RESOURCES, INC.","Farmers BRNCH, TX 75234",
534225,"MAVERICK PROD. CO., INC.","Houston, TX 77056",
571963,MKBM OIL CO.,"Taylor, TX 76574",
572630,"MOBILE PRODUCTION SYSTEMS, INC.","Austin, TX 78711",
592645,MUELLER ENGINEERING CORP.,"Corpus Chrsti, TX 78476",
593087,"MULTIPAY ENERGY, INC.","Austin, TX 78749",3
600215,NATCHEZ DRILLING COMPANY,"Milton, FL 32570",
606065,"NEW ERA PETROLEUM, INC.","Sheridan, WY 82801",
614190,"NORTH TEXAS ENERGY,INC.","Dallas, TX 75252",2
619608,OIL CREEK PRODUCTION CO. INC.,"Prague, OK 74864",
625725,ORISOL OIL CO.,"Houston, TX 77206",
628500,OUTLINE OIL CORP.,"San Antonio, TX 78217",
630651,"P&F OPERATIONS, LLC","Thrall, TX 76578",2
633970,PAF EXPLORATION L.C.,"Paducah, TX 79248",
635321,PALM PETROLEUM CO.,"Houston, TX 77002",
637878,PANAMERICAN OPERATING INC,"Dallas, TX 75219",
643404,"PATRIOT OPERATING, LLC","Austin, TX 78757",
643730,"PATTON EXPLORATION, INC.","Abilene, TX 79604",12
649251,PECOS PETROLEUM CORP.,"Dallas, TX 75206",
652875,"PENROD OIL COMPANY OF TEXAS, INC","Milano, TX 76556",
674363,"POWELL, J.C. JR.","Albuquerque, NM 87107",
675995,"PRECISE DEVELOPMENT, INC.","Austin, TX 78709",
685889,R.D. OIL COMPANY,"Austin, TX 78755",
689409,"RAMBO OIL & GAS CO., INC.","Alvarado, TX 76009",
691700,RANGE OIL CORPORATION,"Houston, TX 77098",
693747,RATHBUN PRODUCTION SERVICE INC.,"Longview, TX 75601",
698750,REGAL PETROLEUM CORP.,"San Saba, TX 76877",
701876,REO OPERATING LLC,"Austin, TX 78747",4
727970,"ROSE, J. & ASSOCIATES, INC.","Dallas, TX 75231",
761710,"SEAGULL OPERATING CO., INC.","Shreveport, LA 71101",
763140,"SECONDARY OIL CORP., INC.","Austin, TX 78750",
766455,SEMINOLE PIPELINE COMPANY,"Houston, TX 77210",
773815,"SHELDON RESOURCES, L.P.","Bryan, TX 77805",16
776760,"SHIELD ENERGY, INC.","Austin, TX 78741",
792503,"SMITH, J. BASSETT","Lubbock, TX 79424",
809880,"SPILLER, H. G.","San Antonio, TX 78213",
821927,"STINGRAY OIL COMPANY, INC.","Mullin, TX 76864",4
829440,SUN EXPL. & PROD. CO.-HOUSTON,"Houston, TX 77251",
829627,SUNOCO PIPELINE L.P.,"Houston, TX 77002",
835994,TARA PETROLEUM COMPANY,"Giddings, TX 78942",
841268,TEJAS ENERGY,"Taylor, TX 76574",
846901,"TEXAS OIL PRODUCING SYSTEM, INC.","Austin, TX 78766",
848010,TEXAS SECONDARY OIL CORPORATION,"Devine, TX 78016",61
857150,"THRALL OPERATING COMPANY, INC.","Dallas, TX 75240",
864035,"TRACKER OIL & GAS, INC.","Bastrop, TX 78602",
875221,TXU LONE STAR PIPELINE,"Dallas, TX 75201",
875391,U S ENERGY CORP. OF AMER. INC.,"Ranger, TX 76470",3
875633,"ULTRA OIL & GAS, INC.","Centerton, AR 72719",
881450,"VAN VALKENBURGH, NORMAN P.","Ventura, CA 93003",
887530,"VOSKAMP EXPLORATION, INC.","Midland, TX 79708",
890990,"WAGNER, DUER & CO.","Fort Worth, TX 76102",
892024,WALKER OPERATING COMPANY,"Kilgore, TX 75663",
895250,"WALTERS, G. C., JR.","Dallas, TX 75230",
907972,WELLS DRILLING CO.,"Milano, TX 76556",
924127,WILHITE PRODUCTIONS,"MC Dade, TX 78650",
930375,WILSON SERVICE COMPANY,"Austin, TX 78716",
931327,WINCHESTER OIL & GAS LLC,"Rockdale, TX 76567",6
931621,"WINDOW OPERATING CO., THE","Coleman, TX 76834",15
935440,"WM C RAYMOND OIL AND GAS, LLC","Rockdale, TX 76567",
935419,"WMJ ENTERPRISES, INC.","College Sta, TX 77840",
